Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,RxBt(V),Curr(A),Capa(mAh),Bat%(%),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V),GPS,GAlt(m),GSpd(kts),Hdg(@)
2026-09-14,18:32:12.000,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:12.200,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:12.400,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:12.600,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:12.800,0.00,0.00,0.00,,7.6,0.0,0,0,-54,0,100,10,0,9,25,-45,100,10,-1,8,-1024,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,,0,0.0,0
2026-09-14,18:32:13.000,0.00,0.20,0.00,,7.6,0.0,0,0,-40,0,100,10,0,9,25,-45,100,10,-1,8,-200,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507400 -0.127223,8.0,15.4,90
2026-09-14,18:32:13.200,0.00,0.20,0.00,,7.6,0.0,0,0,-40,0,100,10,0,9,25,-45,100,10,-1,8,-183,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507405 -0.127223,8.1,15.4,91
2026-09-14,18:32:13.400,0.01,0.20,0.00,,7.6,0.0,0,0,-41,0,100,10,0,9,25,-45,100,10,-1,8,-165,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507409 -0.127223,8.2,15.5,91
2026-09-14,18:32:13.600,0.01,0.20,0.00,,7.6,0.0,0,0,-41,0,100,10,0,9,25,-45,100,10,-1,8,-148,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507414 -0.127223,8.2,15.6,92
2026-09-14,18:32:13.800,0.02,0.20,0.00,,7.6,0.0,0,0,-41,0,100,10,0,9,25,-45,100,10,-1,8,-131,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507418 -0.127223,8.3,15.7,93
2026-09-14,18:32:14.000,0.02,0.20,0.01,,7.6,0.0,0,0,-41,0,100,10,0,9,25,-45,100,10,-1,8,-114,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507423 -0.127224,8.4,15.7,94
2026-09-14,18:32:14.200,0.02,0.20,0.01,,7.6,0.0,0,0,-42,0,100,10,0,9,25,-45,100,10,-1,8,-96,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507427 -0.127224,8.5,15.8,94
2026-09-14,18:32:14.400,0.03,0.20,0.01,,7.6,0.0,0,0,-42,0,100,10,0,9,25,-45,100,10,-1,8,-79,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507432 -0.127225,8.5,15.8,95
2026-09-14,18:32:14.600,0.03,0.20,0.01,,7.6,0.0,0,0,-42,0,100,10,0,9,25,-45,100,10,-1,8,-63,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507436 -0.127226,8.6,15.9,96
2026-09-14,18:32:14.800,0.04,0.20,0.01,,7.6,0.0,0,0,-42,0,100,10,0,9,25,-45,100,10,-1,8,-46,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507441 -0.127226,8.7,15.9,96
2026-09-14,18:32:15.000,0.04,0.20,0.01,,7.6,0.0,0,0,-43,0,100,10,0,9,25,-45,100,10,-1,8,-29,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507445 -0.127227,8.7,15.9,97
2026-09-14,18:32:15.200,0.04,0.19,0.01,,7.6,0.0,0,0,-43,0,100,10,0,9,25,-45,100,10,-1,8,-12,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507450 -0.127228,8.8,16.0,98
2026-09-14,18:32:15.400,0.05,0.19,0.01,,7.6,0.0,0,0,-43,0,100,10,0,9,25,-45,100,10,-1,8,4,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507454 -0.127229,8.9,16.0,99
2026-09-14,18:32:15.600,0.05,0.19,0.01,,7.6,0.0,0,0,-43,0,100,10,0,9,25,-45,100,10,-1,8,20,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507458 -0.127230,9.0,16.0,99
2026-09-14,18:32:15.800,0.05,0.19,0.02,,7.6,0.0,0,0,-44,0,100,10,0,9,25,-45,100,10,-1,8,36,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507463 -0.127232,9.0,16.0,100
2026-09-14,18:32:16.000,0.06,0.19,0.02,,7.6,0.0,0,0,-44,0,100,10,0,9,25,-45,100,10,-1,8,52,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507467 -0.127233,9.1,16.0,101
2026-09-14,18:32:16.200,0.06,0.19,0.02,,7.6,0.0,0,0,-44,0,100,10,0,9,25,-45,100,10,-1,8,68,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507472 -0.127234,9.2,16.0,102
2026-09-14,18:32:16.400,0.07,0.19,0.02,,7.6,0.0,0,0,-44,0,100,10,0,9,25,-45,100,10,-1,8,83,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507476 -0.127236,9.2,16.0,102
2026-09-14,18:32:16.600,0.07,0.19,0.02,,7.6,0.0,0,0,-44,0,100,10,0,9,25,-45,100,10,-1,8,98,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507481 -0.127237,9.3,16.0,103
2026-09-14,18:32:16.800,0.07,0.18,0.02,,7.6,0.0,0,0,-45,0,100,10,0,9,25,-45,100,10,-1,8,113,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507485 -0.127239,9.4,16.0,104
2026-09-14,18:32:17.000,0.08,0.18,0.02,,7.6,0.0,0,0,-45,0,100,10,0,9,25,-45,100,10,-1,8,128,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507489 -0.127241,9.4,15.9,104
2026-09-14,18:32:17.200,0.08,0.18,0.02,,7.6,0.0,0,0,-45,0,100,10,0,9,25,-45,100,10,-1,8,142,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507494 -0.127243,9.5,15.9,105
2026-09-14,18:32:17.400,0.08,0.18,0.02,,7.6,0.0,0,0,-45,0,100,10,0,9,25,-45,100,10,-1,8,156,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507498 -0.127245,9.6,15.9,106
2026-09-14,18:32:17.600,0.09,0.18,0.03,,7.6,0.0,0,0,-46,0,100,10,0,9,25,-45,100,10,-1,8,170,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507502 -0.127247,9.6,15.8,107
2026-09-14,18:32:17.800,0.09,0.17,0.03,,7.6,0.0,0,0,-46,0,100,10,0,9,25,-45,100,10,-1,8,184,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507507 -0.127249,9.7,15.8,107
2026-09-14,18:32:18.000,0.09,0.17,0.03,,7.6,0.0,0,0,-46,0,100,10,0,9,25,-45,100,10,-1,8,197,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507511 -0.127251,9.8,15.7,108
2026-09-14,18:32:18.200,0.10,0.17,0.03,,7.6,0.0,0,0,-46,0,100,10,0,9,25,-45,100,10,-1,8,210,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507515 -0.127253,9.8,15.7,109
2026-09-14,18:32:18.400,0.10,0.17,0.03,,7.6,0.0,0,0,-47,0,100,10,0,9,25,-45,100,10,-1,8,222,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507520 -0.127256,9.9,15.6,109
2026-09-14,18:32:18.600,0.10,0.17,0.03,,7.6,0.0,0,0,-47,0,100,10,0,9,25,-45,100,10,-1,8,234,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507524 -0.127258,9.9,15.5,110
2026-09-14,18:32:18.800,0.10,0.16,0.03,,7.6,0.0,0,0,-47,0,100,10,0,9,25,-45,100,10,-1,8,246,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507528 -0.127261,10.0,15.5,111
2026-09-14,18:32:19.000,0.11,0.16,0.03,,7.6,0.0,0,0,-47,0,100,10,0,9,25,-45,100,10,-1,8,257,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507532 -0.127263,10.1,15.4,112
2026-09-14,18:32:19.200,0.11,0.16,0.03,,7.6,0.0,0,0,-48,0,100,10,0,9,25,-45,100,10,-1,8,268,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507536 -0.127266,10.1,15.3,112
2026-09-14,18:32:19.400,0.11,0.16,0.04,,7.6,0.0,0,0,-48,0,100,10,0,9,25,-45,100,10,-1,8,279,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507541 -0.127269,10.2,15.2,113
2026-09-14,18:32:19.600,0.11,0.15,0.04,,7.6,0.0,0,0,-48,0,100,10,0,9,25,-45,100,10,-1,8,289,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507545 -0.127272,10.2,15.1,114
2026-09-14,18:32:19.800,0.12,0.15,0.04,,7.6,0.0,0,0,-48,0,100,10,0,9,25,-45,100,10,-1,8,299,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507549 -0.127275,10.3,15.0,114
2026-09-14,18:32:20.000,0.12,0.15,0.04,,7.6,0.0,0,0,-49,0,100,10,0,9,25,-45,100,10,-1,8,309,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507553 -0.127278,10.3,14.9,115
2026-09-14,18:32:20.200,0.12,0.14,0.04,,7.6,0.0,0,0,-49,0,100,10,0,9,25,-45,100,10,-1,8,318,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507557 -0.127281,10.4,14.8,116
2026-09-14,18:32:20.400,0.12,0.14,0.04,,7.6,0.0,0,0,-49,0,100,10,0,9,25,-45,100,10,-1,8,326,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507561 -0.127284,10.4,14.7,117
2026-09-14,18:32:20.600,0.13,0.14,0.04,,7.6,0.0,0,0,-49,0,100,10,0,9,25,-45,100,10,-1,8,334,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507565 -0.127287,10.4,14.6,117
2026-09-14,18:32:20.800,0.13,0.13,0.04,,7.6,0.0,0,0,-49,0,100,10,0,9,25,-45,100,10,-1,8,342,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507569 -0.127291,10.5,14.5,118
2026-09-14,18:32:21.000,0.13,0.13,0.04,,7.6,0.0,0,0,-50,0,100,10,0,9,25,-45,100,10,-1,8,349,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507573 -0.127294,10.5,14.4,119
2026-09-14,18:32:21.200,0.13,0.13,0.04,,7.6,0.0,0,0,-50,0,100,10,0,9,25,-45,100,10,-1,8,356,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507577 -0.127298,10.6,14.2,120
2026-09-14,18:32:21.400,0.13,0.12,0.05,,7.6,0.0,0,0,-50,0,100,10,0,9,25,-45,100,10,-1,8,362,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507581 -0.127301,10.6,14.1,120
2026-09-14,18:32:21.600,0.14,0.12,0.05,,7.6,0.0,0,0,-50,0,100,10,0,9,25,-45,100,10,-1,8,368,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507585 -0.127305,10.6,14.0,121
2026-09-14,18:32:21.800,0.14,0.12,0.05,,7.6,0.0,0,0,-51,0,100,10,0,9,25,-45,100,10,-1,8,373,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507589 -0.127309,10.7,13.9,122
2026-09-14,18:32:22.000,0.14,0.11,0.05,,7.6,0.0,0,0,-51,0,100,10,0,9,25,-45,100,10,-1,8,378,3,-1,0,-1,-1,-1,-1,0x0000000000000000,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6,51.507593 -0.127313,10.7,13.7,122
